alcaldia,localidad,ambito_localidad,pob_sin_ss,pob_con_ss,pob_con_imss,pob_con_issste,pob_con_issste_est,pob_con_sspdm,pob_con_bienestar,pob_con_imssbienestar,pob_con_sspriv,pob_con_ssotro
AZCAPOTZALCO,Azcapotzalco,Urbana,20.909059358406314,78.96761953239782,55.26243333603267,11.297185363427078,0.2086972617160838,2.683911569741211,7.952013512106523,0.2026815978528707,2.541155238833424,0.6603347948311565
COYOACAN,Coyoacán,Urbana,26.19607549552687,73.69537161057016,44.440936321603004,15.729753746051328,0.08625642244164264,1.078042532553662,8.21633110748364,0.22556868208323905,5.981150530476998,0.8225282245661545
CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Urbana,23.45401273748882,76.232102971188,40.62176942895556,7.164167912026696,0.13658787421060242,0.7306112173461243,11.83065246152775,0.38673115756884296,18.494533806837964,0.9100501893482884
CUAJIMALPA DE MORELOS,Cruz Blanca,Rural,24.03846153846154,75.96153846153845,33.379120879120876,5.082417582417582,0,0.27472527472527475,38.04945054945055,0.13736263736263737,0.9615384615384616,0.4120879120879121
CUAJIMALPA DE MORELOS,San Lorenzo Acopilco,Urbana,27.78588434068044,72.01827816603948,42.31625835189309,8.77812763996621,0.307196067890331,0.6297519391751785,18.919437831195758,0.1535980339451655,1.5244604869057676,0.8716688426388142
CUAJIMALPA DE MORELOS,La Venta,Rural,31.275720164609055,68.10699588477365,30.04115226337449,14.814814814814813,0.205761316872428,0.411522633744856,18.930041152263374,0.205761316872428,0.6172839506172839,3.292181069958848
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Rural,32.19789132197891,66.09894566098946,38.44282238442822,7.2992700729927,0.24330900243309003,0,18.491484184914842,1.6220600162206,0.6488240064882401,0.32441200324412006
CUAJIMALPA DE MORELOS,Santa Rosa,Rural,49.63325183374083,50.36674816625917,22.982885085574573,4.034229828850855,0.12224938875305623,0,20.660146699266505,2.567237163814181,0,0.12224938875305623
CUAJIMALPA DE MORELOS,Los Aguacates,Rural,44.3579766536965,55.6420233463035,31.1284046692607,1.556420233463035,0,0,0.19455252918287938,21.98443579766537,0.5836575875486382,0.19455252918287938
GUSTAVO A. MADERO,Gustavo A. Madero,Urbana,25.64467069103789,74.2763248167002,47.34252580856027,11.717295165726197,0.17488373044383138,0.6076613050996675,12.46626116140865,0.18289497345636557,1.7305989426863744,1.335746933355833
IZTACALCO,Iztacalco,Urbana,27.20962700305168,72.6665760634552,45.33339922657804,14.184756421502613,0.1366461162109737,0.6446830329013207,10.696450413274194,0.42525852802727976,2.115914454095059,0.6646981059810475
IZTAPALAPA,Iztapalapa,Urbana,32.40536838744616,67.5316510177686,37.1951079986445,10.788913671910327,0.16469752425243234,0.883580697428365,16.503040611587338,0.1862177101868388,1.3756574553006669,1.3116961938146081
LA MAGDALENA CONTRERAS,La Magdalena Contreras,Urbana,27.412469362247798,72.35987793594883,42.91436038112552,11.501533916600385,0.06573928287369941,0.8404077458730339,13.215624847825735,0.11768143230477056,5.544824451766845,0.4914214293830247
MILPA ALTA,Villa Milpa Alta,Urbana,42.941854719156645,56.96480535880964,10.108164497886126,17.19650798879921,0.0823587547356284,0.5270960303080217,27.211332564651624,0.20864217866359194,0.9333992203371219,0.9937956404765826
MILPA ALTA,San Antonio Tecómitl,Urbana,30.121002592912703,69.85738980121002,22.2990492653414,16.526217228464418,0.12604436761740132,1.5341400172860846,28.41400172860847,0.1512532411408816,0.9939498703543647,0.7742725439354653
MILPA ALTA,San Bartolomé Xicomulco,Urbana,23.27184269207379,76.72815730792621,20.636529495236164,15.446989661463611,0.8108655990269612,0.5067909993918508,38.43502939387797,0.10135819987837015,0.6892357591729171,0.7500506790999392
MILPA ALTA,San Francisco Tecoxpa,Urbana,29.104102306200158,70.76657805876859,10.762267404267547,21.689776564408366,0.12931963503125224,0.5675695093038293,36.935124649759324,0.10776636252604355,0.5029096917882032,0.6681514476614699
MILPA ALTA,San Pablo Oztotepec,Urbana,22.229748800451596,77.75331639853232,23.714366356195317,14.12926898108947,0.14112334180073383,2.0491109229466553,36.90093141405589,0.2088625458650861,0.8749647191645498,0.7056167090036692
MILPA ALTA,San Pedro Atocpan,Urbana,41.88867229802902,58.01386181503141,8.891054797487547,6.454407623998268,0.043318171973142736,0.31405674680528484,41.65042235217673,0.054147714966428416,0.7580680095299979,0.17327268789257094
